codmpio,municipio,depto,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor,tratamiento,alf_A1938,alf_A1951,alf_A1964,alf_A1973,numero_prestamos,CP - Promedio,MP - Promedio,LP - Promedio,T - Promedio
13222,Clemencia,Bolívar,0,0,0,0,0,0,0,0,0,794,0,1325,1772,0,0,0,0,0
13248,El Guamo,Bolívar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13268,El Peñón,Bolívar,0,0,0,0,0,0,0,0,0,3174,0,6119,8461,0,0,0,0,0
13300,Hatillo de Loba,Bolívar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13433,Mahates,Bolívar,0,0,0,0,0,0,0,0,0,3633,0,9747,15627,0,0,0,0,0
13440,Margarita,Bolívar,0,0,0,0,0,0,0,0,0,94364,0,334459,505003,0,0,0,0,0
13458,Montecristo,Bolívar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13473,Morales,Bolívar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13490,Norosí (1),Bolívar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13549,Pinillos,Bolívar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13580,Regidor,Bolívar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13600,Río Viejo (1)(3),Bolívar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13620,San Cristóbal,Bolívar,0,0,0,0,0,0,0,0,0,842,0,2283,2554,0,0,0,0,0
13647,San Estanislao,Bolívar,0,0,0,0,0,0,0,0,0,1854,0,7159,11939,0,0,0,0,0
13650,San Fernando,Bolívar,0,0,0,0,0,0,0,0,0,1079,0,6370,9563,0,0,0,0,0
13654,San Jacinto,Bolívar,247,11.06,91,28.36,38,8.14,376,47.57,1,1278,0,3128,5559,1,11.06,28.36,8.14,47.57
13655,San Jacinto del Cauca,Bolívar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13657,San Juan Nepomuceno,Bolívar,2302,1912.74,2177,15975.39,230,69.42,4709,17957.55,1,1127,0,2642,4180,7,273.2485714,2282.198571,9.917142857,2565.364286
13667,San Martín de Loba,Bolívar,0,0,0,0,0,0,0,0,0,1447,0,3014,3250,0,0,0,0,0
13670,San Pablo,Bolívar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13673,Santa Catalina,Bolívar,0,0,0,0,0,0,0,0,0,934,0,2576,2932,0,0,0,0,0
13683,Santa Rosa,Bolívar,0,0,0,0,0,0,0,0,0,1261,1632,3701,6493,0,0,0,0,0
13688,Santa Rosa del Sur,Bolívar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13744,Simití,Bolívar,153,37.04,99,33.56,0,0,252,70.6,1,0,0,0,0,1,37.04,33.56,0,70.6
13760,Soplaviento,Bolívar,0,0,0,0,0,0,0,0,0,1341,0,4493,6625,0,0,0,0,0
13780,Talaigua Nuevo,Bolívar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13810,Tiquisio,Bolívar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13836,Turbaco,Bolívar,0,0,0,0,0,0,0,0,0,2187,1678,3436,5669,0,0,0,0,0
13838,Turbaná,Bolívar,0,0,0,0,0,0,0,0,0,1248,1920,4129,5863,0,0,0,0,0
13873,Villanueva,Bolívar,0,0,0,0,0,0,0,0,0,847,954,1287,1836,0,0,0,0,0
13894,Zambrano,Bolívar,0,0,0,0,0,0,0,0,0,1393,1569,2786,4086,0,0,0,0,0
15022,Almeida,Boyacá,0,0,0,0,0,0,0,0,0,2322,0,4065,4758,0,0,0,0,0
15047,Aquitania,Boyacá,0,0,0,0,0,0,0,0,0,1671,2129,3910,6536,0,0,0,0,0
15051,Arcabuco,Boyacá,0,0,0,0,0,0,0,0,0,1089,1491,3051,5079,0,0,0,0,0
15087,Belén,Boyacá,0,0,0,0,0,0,0,0,0,8946,11787,17385,23576,0,0,0,0,0
15090,Berbeo,Boyacá,0,0,0,0,0,0,0,0,0,628,0,1118,1148,0,0,0,0,0
15092,Betéitiva,Boyacá,0,0,0,0,0,0,0,0,0,1556,2307,4577,7789,0,0,0,0,0
15097,Boavita,Boyacá,0,0,0,0,0,0,0,0,0,5041,9191,21389,44099,0,0,0,0,0
15104,Boyacá,Boyacá,0,0,0,0,0,0,0,0,0,1709,824,1787,3372,0,0,0,0,0
15106,Briceño,Boyacá,0,0,0,0,0,0,0,0,0,2057,0,2394,2700,0,0,0,0,0
