,Oficina,Departamento,Anio,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
298,sabanalarga,atlantico,1955,711,47493922,147,51057666,0,0,858,98551588
299,sabanalarga,atlantico,1956,946,59180172,229,65732000,0,0,1175,124912172
300,sabanalarga,atlantico,1957,1086,604356,290,891535,0,0,1376,1495891
301,sabanalarga,atlantico,1958,1339,722402,307,1026550,25,134967,1671,1883919
302,sabanalarga,atlantico,1959,1287,778207,351,1361254,22,124924,1660,2264385
303,sabanalarga,atlantico,1960,1115,780482,349,1340681,22,110999,1486,2232162
304,calamar,bolivar,1952,97,11603559,50,31380000,0,0,147,42983559
305,calamar,bolivar,1953,185,23148861,166,70575600,0,0,351,93724451
306,calamar,bolivar,1954,274,34388134,194,81062901,0,0,468,115451035
307,calamar,bolivar,1955,336,50451034,217,91719929,0,0,553,142170963
308,calamar,bolivar,1956,336,53817748,250,127674183,0,0,586,181491931
309,calamar,bolivar,1957,397,552052,276,1288447,0,0,673,1840499
310,calamar,bolivar,1958,732,823233,276,1313213,4,59000,1012,2195446
311,calamar,bolivar,1959,881,1174668,246,1355707,3,32000,1130,2562375
312,calamar,bolivar,1960,721,1053125,309,2202496,2,47000,1032,3302621
313,cartagena,bolivar,1952,728,94014541,318,190296477,0,0,1046,284311018
314,cartagena,bolivar,1953,740,90959435,363,205273081,0,0,1103,296232516
315,cartagena,bolivar,1954,753,126595478,461,302640018,0,0,1214,429235496
316,cartagena,bolivar,1955,834,140539603,619,430848370,0,0,1453,571387973
317,cartagena,bolivar,1956,929,153553067,682,456390671,0,0,1611,609943738
318,cartagena,bolivar,1957,1025,1432907,757,4865088,0,0,1782,6297995
319,cartagena,bolivar,1958,1318,2099103,786,5296211,93,903151,2197,8298465
320,cartagena,bolivar,1959,1423,3229664,897,7655571,112,1158017,2432,12043252
321,cartagena,bolivar,1960,1321,3666024,979,9082499,117,1122119,2417,13870642
322,corozal,bolivar,1952,164,12818578,526,150702564,0,0,690,163521142
323,corozal,bolivar,1953,380,41315000,691,194949288,0,0,1071,236264288
324,corozal,bolivar,1954,372,39341422,699,240624427,0,0,71,279965849
325,corozal,bolivar,1955,124,20119000,362,171180133,0,0,486,191299133
326,corozal,bolivar,1956,128,22595104,409,192107588,0,0,537,214702692
327,corozal,bolivar,1957,154,264460,452,1994694,0,0,606,2259154
328,corozal,bolivar,1958,144,189800,398,1706268,82,418541,624,2314609
329,corozal,bolivar,1959,141,249520,359,1764710,90,414278,590,2428508
330,corozal,bolivar,1960,163,380770,381,2233248,89,391660,633,3005678
331,el carmen,bolivar,1952,393,25366134,357,107576285,0,0,750,132942419
332,el carmen,bolivar,1953,222,21438287,371,122477194,0,0,593,143915481
333,el carmen,bolivar,1954,211,29426536,370,142329089,0,0,581,171755625
334,el carmen,bolivar,1955,121,18853390,263,135291461,0,0,384,154144851
335,el carmen,bolivar,1956,112,15797500,299,156926134,0,0,411,172723534
336,el carmen,bolivar,1957,142,267017,339,1853729,0,0,481,2110746
337,el carmen,bolivar,1958,211,272802,291,1330829,124,949763,626,2553394
338,el carmen,bolivar,1959,242,352664,298,1622342,129,943064,669,2918070
339,el carmen,bolivar,1960,319,476818,332,1793090,128,851278,779,3121186
340,magangue,bolivar,1952,323,18351845,651,151816373,0,0,974,170168218
341,magangue,bolivar,1953,443,45703411,527,144630970,0,0,970,190334381
342,magangue,bolivar,1954,626,65406172,605,219842495,0,0,1231,285248667
343,magangue,bolivar,1955,545,64608451,437,192540708,0,0,982,257149159
344,magangue,bolivar,1956,397,55679868,496,213843352,0,0,893,269523220
345,magangue,bolivar,1957,422,574694,502,2171863,0,0,924,2750557
346,magangue,bolivar,1958,501,760390,516,2846408,20,136982,1037,3743780
347,magangue,bolivar,1959,489,966690,546,3360754,22,169844,1057,4497288
348,magangue,bolivar,1960,475,1058764,563,3326536,19,140923,1057,4526223
349,majagual,bolivar,1959,122,304047,143,685999,0,0,265,990046
350,majagual,bolivar,1960,197,449742,154,712628,0,0,351,1162370
351,maria la baja,bolivar,1952,600,24124989,112,36287760,0,0,712,60412749
352,maria la baja,bolivar,1953,474,21937751,123,35470077,0,0,597,57407828
353,maria la baja,bolivar,1954,497,25092726,140,65721238,0,0,637,90813964
354,maria la baja,bolivar,1955,506,33798264,177,76940467,0,0,683,110738731
355,maria la baja,bolivar,1956,395,25991204,191,78605231,0,0,586,104596435
356,maria la baja,bolivar,1957,295,235230,185,767788,0,0,480,1004018
357,maria la baja,bolivar,1958,268,208129,178,727701,3,30820,449,966650
358,maria la baja,bolivar,1959,254,258444,179,664542,12,101705,445,1024691
359,maria la baja,bolivar,1960,327,509915,147,641135,14,92582,488,1243632
360,mompos,bolivar,1952,184,19394102,394,115381540,0,0,578,134775742
361,mompos,bolivar,1953,235,34896483,374,111422218,0,0,609,146318701
362,mompos,bolivar,1954,210,53325960,368,130567100,0,0,578,183893060
363,mompos,bolivar,1955,244,77892126,482,212310605,0,0,726,290202731
364,mompos,bolivar,1956,231,70345300,554,214856528,0,0,785,285201828
365,mompos,bolivar,1957,209,741607,588,2282132,0,0,797,3023739
366,mompos,bolivar,1958,257,880434,608,2761001,19,115789,884,3757224
367,mompos,bolivar,1959,219,891904,564,2994277,16,90192,799,3976373
368,mompos,bolivar,1960,333,1339692,603,3785778,16,83388,952,5208858
369,ovejas,bolivar,1955,58,9539900,95,42515593,0,0,153,52055493
370,ovejas,bolivar,1956,70,10190000,134,62524027,0,0,204,72714027
371,ovejas,bolivar,1957,81,173730,158,646608,0,0,239,826338
372,ovejas,bolivar,1958,84,211795,164,609719,31,208403,279,1029917
373,ovejas,bolivar,1959,144,278415,190,724619,28,181030,362,1184064
374,ovejas,bolivar,1960,201,223633,203,902578,28,162452,432,1288663
