,codmpio,municipio,depto,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor,tratamiento,alf_A1938,alf_A1951,alf_A1964,alf_A1973,alf_A2018,numero_prestamos,CP - Promedio,MP - Promedio,LP - Promedio,T - Promedio
116,8558.0,Polonuevo,Atlántico,0,0.0,0,0.0,0,0.0,0,0.0,0,850,1002.0,1384,1844,99.6,0,0.0,0.0,0.0,0.0
117,8560.0,Ponedera,Atlántico,0,0.0,0,0.0,0,0.0,0,0.0,0,1600,0.0,2774,3305,96.3,0,0.0,0.0,0.0,0.0
118,8573.0,Puerto Colombia,Atlántico,0,0.0,0,0.0,0,0.0,0,0.0,0,9313,8786.0,11165,12805,99.8,0,0.0,0.0,0.0,0.0
119,8606.0,Repelón,Atlántico,0,0.0,0,0.0,0,0.0,0,0.0,0,5852,6017.0,7646,7547,97.8,0,0.0,0.0,0.0,0.0
120,8634.0,Sabanagrande,Atlántico,0,0.0,0,0.0,0,0.0,0,0.0,0,1875,1977.0,2558,2871,99.6,0,0.0,0.0,0.0,0.0
121,8638.0,Sabanalarga,Atlántico,8135,7000.28,2088,6438.54,88,12.43,10311,13451.25,1,710,0.0,1097,1189,99.4,8,875.035,804.8175,1.55375,1681.40625
122,8675.0,Santa Lucía,Atlántico,0,0.0,0,0.0,0,0.0,0,0.0,0,1710,0.0,1601,1811,98.8,0,0.0,0.0,0.0,0.0
123,8685.0,Santo Tomás,Atlántico,746,67.58,108,47.02,1,1.15,855,115.75,1,2775,3403.0,21798,34919,99.2,1,67.58,47.02,1.15,115.75
124,8758.0,Soledad,Atlántico,0,0.0,0,0.0,0,0.0,0,0.0,0,8801,8796.0,12573,13622,99.7,0,0.0,0.0,0.0,0.0
125,8770.0,Suan,Atlántico,0,0.0,0,0.0,0,0.0,0,0.0,0,2618,3395.0,4770,5316,99.4,0,0.0,0.0,0.0,0.0
126,8832.0,Tubará,Atlántico,0,0.0,0,0.0,0,0.0,0,0.0,0,3499,3127.0,4146,4862,99.3,0,0.0,0.0,0.0,0.0
127,8849.0,Usiacurí,Atlántico,0,0.0,0,0.0,0,0.0,0,0.0,0,6108,4535.0,5882,6645,100.0,0,0.0,0.0,0.0,0.0
128,13006.0,Achí,Bolívar,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,95.1,0,0.0,0.0,0.0,0.0
129,13030.0,Altos del Rosario,Bolívar,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,93.8,0,0.0,0.0,0.0,0.0
