cod_mpio,Cod Dep,Anio,Poblacion,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
66001,170,19566,1130590.0699999998,5604,5151.139999999999,4236,9442.580000000002,690,17.810000000000002,10530,14611.510000000002
66045,170,19566,167261.60000000003,4074,21625.569999999996,2062,10988.810000000001,119,25.53,6255,32638.91
66088,119,13707,146137.22999999998,2003,4587.48,923,3226.7899999999995,166,38.92,3092,7853.19
66400,17,1962,7478.42,189,38.6,83,16.37,3,1.25,275,56.22
66440,170,19566,141291.78,2673,14280.33,1292,7291.150000000001,225,60.2,4190,21631.679999999997
66594,68,7839,64532.34,1772,43.42,243,14.71,43,13.42,2058,71.54
66682,170,19566,223856.41,5387,14269.75,4300,20863.089999999997,694,74.51,10381,35207.350000000006
66687,170,19566,157368.43,3050,28489.310000000005,1270,15255.760000000002,12,2.27,4332,43747.369999999995
68001,680,19566,1211563.7000000002,19104,8433.010000000002,10055,12617.83,554,19.2,29713,21070.05
68079,408,11752,37147.79,1931,2883.4900000000007,451,788.3199999999999,143,65.24000000000001,2525,3737.0299999999997
68081,544,15661,63657.100000000006,1927,3531.4500000000003,1484,20441.63,11,4.0,3422,23977.09
68101,68,1962,14887.94,667,37.31,346,20.82,9,0.91,1022,59.05
68167,680,19566,102699.51000000001,8780,38319.79,4003,36745.06999999999,115,35.97,12898,75100.81999999998
68190,408,11752,35998.93,1304,1178.8500000000001,1651,4309.45,132,52.67,3087,5540.97
68207,204,5881,21437.89,3175,287.52,608,145.25,105,65.3,3888,498.07000000000005
68298,408,11752,28256.03,1986,4202.46,1367,6268.38,9,11.18,3362,10482.03
68327,136,3922,7060.57,1323,298.89,273,182.77,139,101.94,1735,583.61
68406,68,1962,13961.91,576,48.75,228,25.42,18,3.5,822,77.67
68432,680,19566,126643.87999999999,19229,48539.13000000001,1858,11964.520000000002,309,76.56,21396,60580.189999999995
68444,680,19566,67834.14000000001,5073,22961.98,1598,12905.46,63,28.060000000000002,6734,35895.5
68500,136,3922,12831.26,647,96.9,258,125.93,52,27.86,957,250.7
68502,476,13707,58726.27,3630,12270.000000000002,738,1771.8700000000001,13,5.95,4381,14047.830000000002
68547,544,15661,122461.76999999999,5077,6291.04,1025,4522.799999999998,91,20.240000000000002,6193,10834.08
68572,680,19566,134398.52,5105,12210.419999999998,5977,25842.87,373,62.36,11455,38115.64000000001
68575,408,11752,52991.51999999999,2264,2512.8400000000006,1301,5711.429999999999,10,3.6,3575,8227.88
68615,680,19566,174507.20999999996,4298,13071.27,2416,8099.200000000001,156,34.38,6870,21204.85
68655,68,1962,6152.93,298,65.52,81,31.25,10,4.49,389,101.25
