,index,Código Departamento,Departamento,codmpio,Entidad,Dimensión,Subcategoría,Indicador,Dato Numérico,Dato Cualitativo,Año,Mes,Fuente,Unidad de Medida,municipio,depto,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor,tratamiento,alf_A1938,alf_A1951,alf_A1964,alf_A1973,numero_prestamos,CP - Promedio,MP - Promedio,LP - Promedio,T - Promedio
74,2291,5.0,Antioquia,5631.0,Sabaneta,Medición de desempeño municipal,Resumen MDM,MDM,"67,15",,2018.0,12.0,DNP - DDDR,Puntos,Sabaneta,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,6557,0.0,6825,0,0,0.0,0.0,0.0,0.0
75,2292,5.0,Antioquia,5642.0,Salgar,Medición de desempeño municipal,Resumen MDM,MDM,"55,90",,2018.0,12.0,DNP - DDDR,Puntos,Salgar,Antioquia,804,3757.09,676,4492.74,144,59.06,1624,8308.87,1,193,546.0,1625,2935,6,626.1816667,748.79,9.843333333,1384.811667
76,2293,5.0,Antioquia,5647.0,San Andrés de Cuerquía,Medición de desempeño municipal,Resumen MDM,MDM,"42,60",,2018.0,12.0,DNP - DDDR,Puntos,San Andrés de Cuerquía,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,11424,0.0,19536,0,0,0.0,0.0,0.0,0.0
77,2294,5.0,Antioquia,5649.0,San Carlos,Medición de desempeño municipal,Resumen MDM,MDM,"49,66",,2018.0,12.0,DNP - DDDR,Puntos,San Carlos,Antioquia,1118,70.68,1195,88.15,3,0.37,2316,159.2,1,5711,5817.0,6821,8262,3,23.56,29.38333333,0.123333333,53.06666667
78,2295,5.0,Antioquia,5652.0,San Francisco,Medición de desempeño municipal,Resumen MDM,MDM,"48,35",,2018.0,12.0,DNP - DDDR,Puntos,San Francisco,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,3102,0.0,4017,0,0,0.0,0.0,0.0,0.0
79,2296,5.0,Antioquia,5656.0,San Jerónimo,Medición de desempeño municipal,Resumen MDM,MDM,"62,70",,2018.0,12.0,DNP - DDDR,Puntos,San Jerónimo,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,1357,485.0,2268,3196,0,0.0,0.0,0.0,0.0
80,2297,5.0,Antioquia,5658.0,San José de La Montaña,Medición de desempeño municipal,Resumen MDM,MDM,"52,70",,2018.0,12.0,DNP - DDDR,Puntos,San José de La Montaña,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,9127,0.0,20745,0,0,0.0,0.0,0.0,0.0
81,2298,5.0,Antioquia,5659.0,San Juan de Urabá,Medición de desempeño municipal,Resumen MDM,MDM,"37,32",,2018.0,12.0,DNP - DDDR,Puntos,San Juan de Urabá,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
82,2299,5.0,Antioquia,5660.0,San Luis,Medición de desempeño municipal,Resumen MDM,MDM,"49,43",,2018.0,12.0,DNP - DDDR,Puntos,San Luis,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,1901,0.0,2658,0,0,0.0,0.0,0.0,0.0
83,2300,5.0,Antioquia,5664.0,San Pedro de Los Milagros,Medición de desempeño municipal,Resumen MDM,MDM,"60,46",,2018.0,12.0,DNP - DDDR,Puntos,San Pedro,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,6384,5199.0,5249,5033,0,0.0,0.0,0.0,0.0
84,2301,5.0,Antioquia,5665.0,San Pedro de Urabá,Medición de desempeño municipal,Resumen MDM,MDM,"49,19",,2018.0,12.0,DNP - DDDR,Puntos,San Pedro de Uraba,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
85,2302,5.0,Antioquia,5667.0,San Rafael,Medición de desempeño municipal,Resumen MDM,MDM,"52,76",,2018.0,12.0,DNP - DDDR,Puntos,San Rafael,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,9495,9004.0,17852,7172,0,0.0,0.0,0.0,0.0
